--- Sampling Parameter ---,,,,,,,,,,,,,,,,
Sampling Time,0.0000002,0.0000002,,,,,,,,,,,,,,
Sample Number,41666,41666,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
--- Sampling Data ---,,,,,,,,,,,,,,,,
Time [sec],TDS_AC [V],Friction [gf],,,,,,,,0.02,41666,,,0.02,41666,
0.000045,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000452,0,1.243452,,,,,,,,,,,,,,
0.0000454,0,1.243452,,,,,,,,,,,,,,
0.0000456,0,1.243452,,,,,,,,,,,,,,
0.0000458,0,1.243452,,,,,,,,,,,,,,
0.000046,0,1.243452,,,,,,,,,,,,,,
0.0000462,0,1.243452,,,,,,,,,,,,,,
0.0000464,0,1.227205,,,,,,,,,,,,,,
0.0000466,-0.002441,1.227205,,,,,,,,,,,,,,
0.0000468,-0.002441,1.243452,,,,,,,,,,,,,,
0.000047,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000472,0,1.243452,,,,,,,,,,,,,,
0.0000474,0,1.227205,,,,,,,,,,,,,,
0.0000476,-0.002441,1.227205,,,,,,,,,,,,,,
0.0000478,0,1.243452,,,,,,,,,,,,,,
0.000048,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000482,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000484,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000486,0,1.227205,,,,,,,,,,,,,,
0.0000488,-0.002441,1.227205,,,,,,,,,,,,,,
0.000049,0,1.243452,,,,,,,,,,,,,,
0.0000492,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000494,0,1.243452,,,,,,,,,,,,,,
0.0000496,0,1.243452,,,,,,,,,,,,,,
0.0000498,0,1.243452,,,,,,,,,,,,,,
0.00005,0,1.243452,,,,,,,,,,,,,,
0.0000502,0,1.243452,,,,,,,,,,,,,,
0.0000504,0,1.2597,,,,,,,,,,,,,,
0.0000506,0,1.243452,,,,,,,,,,,,,,
0.0000508,-0.002441,1.243452,,,,,,,,,,,,,,
0.000051,0,1.243452,,,,,,,,,,,,,,
0.0000512,0,1.227205,,,,,,,,,,,,,,
0.0000514,-0.002441,1.227205,,,,,,,,,,,,,,
0.0000516,0,1.227205,,,,,,,,,,,,,,
0.0000518,0,1.243452,,,,,,,,,,,,,,
0.000052,0,1.243452,,,,,,,,,,,,,,
0.0000522,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000524,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000526,0,1.2597,,,,,,,,,,,,,,
0.0000528,0,1.243452,,,,,,,,,,,,,,
0.000053,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000532,-0.002441,1.227205,,,,,,,,,,,,,,
0.0000534,0,1.227205,,,,,,,,,,,,,,
0.0000536,-0.002441,1.227205,,,,,,,,,,,,,,
0.0000538,0,1.243452,,,,,,,,,,,,,,
0.000054,-0.004883,1.227205,,,,,,,,,,,,,,
0.0000542,0.002441,1.2597,,,,,,,,,,,,,,
0.0000544,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000546,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000548,0,1.243452,,,,,,,,,,,,,,
0.000055,0,1.243452,,,,,,,,,,,,,,
0.0000552,0,1.243452,,,,,,,,,,,,,,
0.0000554,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000556,0,1.227205,,,,,,,,,,,,,,
0.0000558,0,1.227205,,,,,,,,,,,,,,
0.000056,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000562,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000564,0,1.2597,,,,,,,,,,,,,,
0.0000566,0,1.243452,,,,,,,,,,,,,,
0.0000568,-0.002441,1.243452,,,,,,,,,,,,,,
0.000057,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000572,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000574,0,1.243452,,,,,,,,,,,,,,
0.0000576,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000578,0,1.243452,,,,,,,,,,,,,,
0.000058,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000582,0,1.2597,,,,,,,,,,,,,,
0.0000584,0,1.243452,,,,,,,,,,,,,,
0.0000586,0,1.2597,,,,,,,,,,,,,,
0.0000588,0,1.2597,,,,,,,,,,,,,,
0.000059,0,1.2597,,,,,,,,,,,,,,
0.0000592,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000594,-0.002441,1.227205,,,,,,,,,,,,,,
0.0000596,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000598,0.002441,1.2597,,,,,,,,,,,,,,
0.00006,0,1.243452,,,,,,,,,,,,,,
0.0000602,0,1.243452,,,,,,,,,,,,,,
0.0000604,0,1.2597,,,,,,,,,,,,,,
0.0000606,0,1.2597,,,,,,,,,,,,,,
0.0000608,0,1.2597,,,,,,,,,,,,,,
0.000061,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000612,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000614,0,1.2597,,,,,,,,,,,,,,
0.0000616,0.002441,1.2597,,,,,,,,,,,,,,
0.0000618,0,1.2597,,,,,,,,,,,,,,
0.000062,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000622,0,1.2597,,,,,,,,,,,,,,
0.0000624,0,1.243452,,,,,,,,,,,,,,
0.0000626,0,1.243452,,,,,,,,,,,,,,
0.0000628,-0.002441,1.227205,,,,,,,,,,,,,,
0.000063,0,1.2597,,,,,,,,,,,,,,
0.0000632,0,1.2597,,,,,,,,,,,,,,
0.0000634,0,1.2597,,,,,,,,,,,,,,
0.0000636,0,1.243452,,,,,,,,,,,,,,
0.0000638,0,1.243452,,,,,,,,,,,,,,
0.000064,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000642,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000644,0,1.2597,,,,,,,,,,,,,,
0.0000646,0,1.2597,,,,,,,,,,,,,,
0.0000648,0,1.243452,,,,,,,,,,,,,,
0.000065,0,1.243452,,,,,,,,,,,,,,
0.0000652,0,1.243452,,,,,,,,,,,,,,
0.0000654,0,1.243452,,,,,,,,,,,,,,
0.0000656,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000658,-0.002441,1.2597,,,,,,,,,,,,,,
0.000066,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000662,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000664,0,1.2597,,,,,,,,,,,,,,
0.0000666,0,1.243452,,,,,,,,,,,,,,
0.0000668,0,1.243452,,,,,,,,,,,,,,
0.000067,0.002441,1.243452,,,,,,,,,,,,,,
0.0000672,0,1.243452,,,,,,,,,,,,,,
0.0000674,0,1.2597,,,,,,,,,,,,,,
0.0000676,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000678,0,1.2597,,,,,,,,,,,,,,
0.000068,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000682,0,1.243452,,,,,,,,,,,,,,
0.0000684,-0.002441,1.227205,,,,,,,,,,,,,,
0.0000686,0,1.227205,,,,,,,,,,,,,,
0.0000688,0,1.243452,,,,,,,,,,,,,,
0.000069,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000692,-0.002441,1.275947,,,,,,,,,,,,,,
0.0000694,0,1.275947,,,,,,,,,,,,,,
0.0000696,0,1.2597,,,,,,,,,,,,,,
0.0000698,0,1.2597,,,,,,,,,,,,,,
0.00007,0,1.243452,,,,,,,,,,,,,,
0.0000702,0,1.243452,,,,,,,,,,,,,,
0.0000704,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000706,0,1.243452,,,,,,,,,,,,,,
0.0000708,-0.002441,1.2597,,,,,,,,,,,,,,
0.000071,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000712,0,1.275947,,,,,,,,,,,,,,
0.0000714,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000716,0,1.2597,,,,,,,,,,,,,,
0.0000718,-0.002441,1.2597,,,,,,,,,,,,,,
0.000072,0,1.243452,,,,,,,,,,,,,,
0.0000722,0,1.243452,,,,,,,,,,,,,,
0.0000724,0,1.243452,,,,,,,,,,,,,,
0.0000726,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000728,-0.002441,1.2597,,,,,,,,,,,,,,
0.000073,0,1.2597,,,,,,,,,,,,,,
0.0000732,0,1.2597,,,,,,,,,,,,,,
0.0000734,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000736,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000738,0,1.243452,,,,,,,,,,,,,,
0.000074,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000742,0,1.2597,,,,,,,,,,,,,,
0.0000744,0,1.2597,,,,,,,,,,,,,,
0.0000746,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000748,0,1.2597,,,,,,,,,,,,,,
0.000075,0,1.2597,,,,,,,,,,,,,,
0.0000752,0,1.2597,,,,,,,,,,,,,,
0.0000754,0,1.2597,,,,,,,,,,,,,,
0.0000756,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000758,0,1.243452,,,,,,,,,,,,,,
0.000076,0,1.243452,,,,,,,,,,,,,,
0.0000762,0,1.2597,,,,,,,,,,,,,,
0.0000764,0,1.2597,,,,,,,,,,,,,,
0.0000766,0,1.2597,,,,,,,,,,,,,,
0.0000768,-0.002441,1.2597,,,,,,,,,,,,,,
0.000077,0,1.243452,,,,,,,,,,,,,,
0.0000772,-0.002441,1.227205,,,,,,,,,,,,,,
0.0000774,0,1.243452,,,,,,,,,,,,,,
0.0000776,0,1.2597,,,,,,,,,,,,,,
0.0000778,0,1.243452,,,,,,,,,,,,,,
0.000078,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000782,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000784,0,1.243452,,,,,,,,,,,,,,
0.0000786,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000788,-0.002441,1.243452,,,,,,,,,,,,,,
0.000079,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000792,0,1.243452,,,,,,,,,,,,,,
0.0000794,0,1.243452,,,,,,,,,,,,,,
0.0000796,0,1.2597,,,,,,,,,,,,,,
0.0000798,-0.002441,1.2597,,,,,,,,,,,,,,
0.00008,0,1.2597,,,,,,,,,,,,,,
0.0000802,0,1.2597,,,,,,,,,,,,,,
0.0000804,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000806,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000808,-0.002441,1.243452,,,,,,,,,,,,,,
0.000081,0,1.243452,,,,,,,,,,,,,,
0.0000812,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000814,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000816,0,1.243452,,,,,,,,,,,,,,
0.0000818,-0.002441,1.243452,,,,,,,,,,,,,,
0.000082,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000822,0,1.243452,,,,,,,,,,,,,,
0.0000824,0,1.243452,,,,,,,,,,,,,,
0.0000826,0,1.2597,,,,,,,,,,,,,,
0.0000828,0,1.2597,,,,,,,,,,,,,,
0.000083,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000832,0,1.243452,,,,,,,,,,,,,,
0.0000834,-0.002441,1.243452,,,,,,,,,,,,,,
0.0000836,-0.002441,1.2597,,,,,,,,,,,,,,
0.0000838,0,1.2597,,,,,,,,,,,,,,
0.000084,0,1.243452,,,,,,,,,,,,,,
0.0000842,0,1.243452,,,,,,,,,,,,,,
0.0000844,0,1.243452,,,,,,,,,,,,,,
0.0000846,0,1.2597,,,,,,,,,,,,,,
0.0000848,0,1.2597,,,,,,,,,,,,,,
